Top row: Eigenvealues.
Corresponding eigenvectors in columns below each eigenvalue.
-nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       31963.5         29425          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       36247.1       14037.4       14714.8          -nan          -nan          -nan       38828.9          -nan          -nan       70399.6          -nan       10842.9       67600.4          -nan          -nan          -nan          -nan       52989.3          -nan          -nan       56801.8          -nan          -nan          -nan          -nan          -nan          -nan       15404.1          -nan       28586.7       43962.2       27753.2       50601.2          -nan          -nan       37968.4          -nan          -nan       35387.2          -nan          -nan          -nan       75066.1          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       1917.88       19771.6       37107.6          -nan       72877.1          -nan       34528.4          -nan       73888.1          -nan          -nan          -nan          -nan          -nan       74446.1       13372.4          -nan       47322.8          -nan          -nan          -nan          -nan          -nan       48151.2          -nan       2816.38          -nan          -nan         45651          -nan       33671.3          -nan          -nan          -nan       12080.9          -nan          -nan       31113.8          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       54541.5       55304.4          -nan          -nan       20534.5          -nan          -nan          -nan         63621       9091.94       73158.1          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     -0.120753   -0.00830544      0.120182     0.0165716     -0.119042    -0.0247593      0.117339       0.03283     -0.115081    -0.0407453      0.112278     0.0484678     -0.108945    -0.0559611      0.105096     0.0631896      -0.10075    -0.0701192     0.0959267     0.0767171    -0.0906501    -0.0829521     0.0849446     0.0887946    -0.0788372     -0.094217      0.072357     0.0991938    -0.0655344     -0.103701     0.0584017      0.107718    -0.0509928     -0.111225     0.0433427      0.114207    -0.0354875     -0.116647     0.0274645      0.118536    -0.0193115     -0.119865     0.0110671      0.120626   -0.00277043     -0.120816   -0.00553939      0.120435      0.013823     -0.119485    -0.0220412      0.117969     0.0301551     -0.115895    -0.0381264      0.113272     0.0459173     -0.110114     -0.053491      0.106435     0.0608117     -0.102252    -0.0678446     0.0975859     0.0745566    -0.0924579    -0.0809159     0.0868924     0.0868924    -0.0809159    -0.0924579     0.0745566     0.0975859    -0.0678446     -0.102252     0.0608117      0.106435     -0.053491     -0.110114     0.0459173      0.113272    -0.0381264     -0.115895     0.0301551      0.117969    -0.0220412     -0.119485      0.013823      0.120435   -0.00553939     -0.120816   -0.00277042      0.120626     0.0110671     -0.119865    -0.0193115      0.118536     0.0274645     -0.116647    -0.0354875      0.114207     0.0433427     -0.111225    -0.0509928      0.107718     0.0584017     -0.103701    -0.0655344     0.0991938      0.072357     -0.094217    -0.0788372     0.0887946     0.0849446    -0.0829521    -0.0906501     0.0767171     0.0959267    -0.0701192      -0.10075     0.0631896      0.105096    -0.0559611     -0.108945     0.0484678      0.112278    -0.0407453     -0.115081       0.03283      0.117339    -0.0247593     -0.119042     0.0165716      0.120182   -0.00830544     -0.120753
     -0.094217     -0.117969     -0.053491     0.0509928      0.117339     0.0959267    0.00277042    -0.0924579     -0.118536    -0.0559611     0.0484678      0.116647     0.0975859     0.0055394    -0.0906501     -0.119042    -0.0584018     0.0459173      0.115895     0.0991938    0.00830544    -0.0887946     -0.119485    -0.0608117     0.0433427      0.115081       0.10075     0.0110671    -0.0868924     -0.119865    -0.0631896     0.0407453      0.114207      0.102252      0.013823    -0.0849446     -0.120182    -0.0655344     0.0381264      0.113272      0.103701     0.0165716    -0.0829521     -0.120435    -0.0678446     0.0354875      0.112278      0.105096     0.0193115    -0.0809159     -0.120626    -0.0701192       0.03283      0.111225      0.106435     0.0220412    -0.0788372     -0.120753     -0.072357     0.0301551      0.110114      0.107718     0.0247593    -0.0767171     -0.120816    -0.0745566     0.0274645      0.108945      0.108945     0.0274645    -0.0745566     -0.120816    -0.0767171     0.0247593      0.107718      0.110114     0.0301551     -0.072357     -0.120753    -0.0788373     0.0220412      0.106435      0.111225       0.03283    -0.0701192     -0.120626    -0.0809159     0.0193115      0.105096      0.112278     0.0354875    -0.0678446     -0.120435    -0.0829521     0.0165716      0.103701      0.113272     0.0381264    -0.0655344     -0.120182    -0.0849446      0.013823      0.102252      0.114207     0.0407453    -0.0631896     -0.119865    -0.0868924     0.0110671       0.10075      0.115081     0.0433427    -0.0608117     -0.119485    -0.0887946    0.00830543     0.0991938      0.115895     0.0459173    -0.0584017     -0.119042      -0.09065    0.00553939     0.0975859      0.116647     0.0484678    -0.0559611     -0.118536    -0.0924578    0.00277043     0.0959267      0.117339     0.0509928     -0.053491     -0.117969     -0.094217
